"params","true_rbp","hw","ew"
"hw_5_ew_100","AGGF1","5","100"
"hw_5_ew_200","EFTUD2","5","200"
"hw_15_ew_30","FXR1","15","30"
"hw_25_ew_30","HNRNPC","25","30"
"hw_35_ew_300","HNRNPK","35","300"
"hw_5_ew_300","HNRNPU","5","300"
"hw_15_ew_30","NCBP2","15","30"
"hw_35_ew_200","PRPF8","35","200"
"hw_35_ew_50","PTBP1","35","50"
"hw_15_ew_30","PUS1","15","30"
"hw_25_ew_200","QKI","25","200"
"hw_15_ew_100","RBFOX2","15","100"
"hw_5_ew_100","RBM15","5","100"
"hw_15_ew_50","RBM22","15","50"
"hw_15_ew_50","SF3A3","15","50"
"hw_35_ew_50","SF3B4","35","50"
"hw_25_ew_300","SRSF1","25","300"
"hw_35_ew_100","TARDBP","35","100"
"hw_35_ew_50","U2AF1","35","50"
"hw_5_ew_100","U2AF2","5","100"
"hw_5_ew_30","UCHL5","5","30"
